satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,age,genre,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,domaine_etude_Autre,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,frequence_deplacement_Aucun,frequence_deplacement_Frequent,frequence_deplacement_Occasionnel,statut_marital_Célibataire,statut_marital_Divorcé(e),statut_marital_Marié(e),poste_Assistant de Direction,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,departement_Commercial,departement_Consulting,departement_Ressources Humaines,satisfaction_globale,stagnation_carriere,pression_travail
3,3,1,4,2,1,3,1,0.18,0,1,2,2,4,2,2,31,0,0,3,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,0.6666666666666666,6
4,3,3,2,2,3,3,0,0.11,0,2,2,5,4,8,8,33,1,6,12,10,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.75,0.5454545454545454,8
3,3,4,1,4,3,3,1,0.14,0,0,3,10,1,11,10,39,0,1,21,21,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.75,0.4090909090909091,14
3,3,1,4,1,3,3,0,0.19,0,0,5,10,4,1,7,43,1,0,9,8,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.75,0.7777777777777778,13
3,2,4,3,4,3,3,1,0.12,0,0,2,1,2,0,7,49,1,7,25,7,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.25,0.125,5
3,2,2,2,1,2,3,0,0.15,1,0,3,8,4,7,7,52,0,2,11,8,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.2222222222222222,11
3,3,1,2,2,2,3,1,0.12,0,0,2,5,3,1,2,27,1,1,4,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.25,0.6,9
3,2,2,2,4,3,3,1,0.11,0,0,2,8,2,11,9,32,1,1,13,13,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.8571428571428571,12
4,3,2,3,1,3,3,1,0.11,0,0,3,2,3,0,4,27,0,1,5,5,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.75,0.6666666666666666,6
4,3,2,4,4,3,3,0,0.12,0,3,3,7,3,1,7,31,0,4,13,7,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.75,0.875,10
1,4,2,4,3,2,3,0,0.16,0,0,0,2,4,0,7,32,1,7,10,7,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,0.875,5
1,1,1,4,4,2,3,1,0.13,1,0,4,2,4,2,2,28,0,5,5,3,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.75,0.5,6
4,3,2,4,4,3,3,0,0.13,0,2,2,28,2,1,9,30,1,1,11,10,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.75,0.7272727272727273,31
3,2,3,3,1,3,4,0,0.24,0,1,2,7,2,8,9,31,1,1,10,10,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.5,0.8181818181818182,11
3,2,5,4,1,3,3,0,0.15,0,1,2,7,2,13,3,39,0,1,21,21,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.75,0.4090909090909091,10
4,3,2,3,1,2,3,1,0.18,1,0,3,3,2,0,0,39,1,4,12,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,0.0,7
2,2,2,4,3,2,3,0,0.14,0,0,6,10,3,0,1,33,0,3,9,7,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.75,0.875,13
4,3,5,3,2,3,3,0,0.11,0,1,2,5,5,1,1,47,0,4,21,3,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.5,8
3,2,2,3,2,4,3,0,0.11,0,1,3,10,4,0,0,43,1,1,9,9,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.7,13
3,3,2,2,4,3,3,1,0.13,0,1,0,1,1,1,4,27,0,0,6,5,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.6666666666666666,5
4,3,2,3,4,2,3,0,0.12,0,0,4,20,4,0,3,54,1,3,20,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.25,0.6,23
3,3,3,1,1,2,3,0,0.16,0,1,1,7,3,0,0,43,1,8,10,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.75,0.0,10
4,3,2,4,1,3,3,0,0.14,0,2,3,8,4,9,8,45,0,9,12,10,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.8181818181818182,11
2,1,2,4,3,2,4,1,0.22,0,3,2,1,2,0,2,40,0,2,6,4,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.75,0.6,6
2,1,1,1,4,2,3,1,0.11,1,0,4,8,4,0,7,29,0,1,7,7,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.25,0.875,12
2,2,1,4,3,3,3,0,0.17,0,0,2,9,5,2,2,29,0,0,4,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.5,12
4,2,2,3,3,3,3,0,0.13,0,3,2,5,3,1,2,30,1,1,10,10,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.25,0.8181818181818182,8
2,3,2,2,1,3,3,0,0.18,0,1,3,8,4,0,7,27,1,1,8,8,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.7777777777777778,11
4,3,2,4,3,2,3,0,0.16,0,2,2,5,2,0,4,37,0,7,8,6,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.25,0.2857142857142857,8
3,2,3,4,2,3,3,1,0.14,0,1,3,15,2,2,9,38,0,0,12,11,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.8333333333333334,19
3,3,3,4,3,2,3,1,0.14,0,0,2,7,4,4,10,31,1,1,11,11,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.75,11
4,2,2,2,1,3,3,1,0.14,0,2,2,10,1,1,7,29,1,1,7,7,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,0.875,14
3,3,3,2,4,3,3,0,0.13,0,0,5,5,4,0,13,35,0,0,17,16,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.35294117647058826,8
3,3,1,4,3,2,3,0,0.12,0,2,2,26,1,0,2,23,0,1,4,4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.4,29
4,2,2,2,4,3,3,1,0.15,0,0,3,6,3,1,2,41,0,6,8,5,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.25,0.6666666666666666,10
2,3,2,3,1,3,3,0,0.19,0,0,3,4,1,0,0,47,0,3,5,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.25,0.0,7
1,3,4,4,2,3,3,0,0.14,0,0,2,23,5,0,0,42,1,2,16,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,0.0,26
4,3,2,3,1,2,3,0,0.14,0,1,3,2,3,0,2,29,0,1,4,4,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,0.6,5
3,3,1,3,3,3,3,1,0.11,0,1,5,2,1,1,0,42,0,0,4,3,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.5,6
3,3,1,2,3,3,3,0,0.13,0,1,4,2,3,0,7,32,1,1,8,8,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.75,0.0,5
1,3,3,3,2,1,4,0,0.21,0,1,3,29,1,0,0,48,1,3,15,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.75,0.0,33
3,4,2,1,1,3,3,1,0.13,0,2,2,6,3,6,7,37,0,4,13,7,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.875,10
4,3,2,3,2,4,3,1,0.12,0,1,2,25,2,2,2,30,1,7,4,2,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.25,0.6666666666666666,29
3,3,2,3,2,3,3,0,0.17,0,1,3,1,3,7,7,26,0,1,8,8,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.75,0.7777777777777778,4
1,2,2,4,2,3,4,0,0.23,0,0,6,2,4,0,0,42,0,3,14,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,0.0,6
1,2,1,2,3,3,3,1,0.11,1,0,3,1,1,1,2,21,1,1,3,3,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.25,0.5,5
4,3,2,4,2,3,3,0,0.15,0,0,6,1,5,0,0,36,1,4,7,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.25,0.0,4
1,2,3,4,1,3,3,0,0.11,0,1,2,3,4,1,12,36,0,4,16,13,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.25,0.6428571428571429,6
4,3,2,3,3,3,3,0,0.11,0,0,2,1,4,1,2,57,0,2,15,3,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.25,0.5,4
4,4,1,3,3,3,3,1,0.13,0,1,3,10,4,1,7,40,1,3,10,7,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.25,0.875,14
1,3,1,4,3,2,4,0,0.24,0,0,3,9,2,2,2,21,0,1,3,3,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,0.5,13
4,3,1,3,2,3,3,1,0.13,1,0,2,5,3,0,0,33,1,1,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,9
3,3,1,1,2,3,4,0,0.2,0,1,3,10,3,0,3,37,1,6,17,5,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.25,0.6666666666666666,14
3,3,2,3,3,4,3,0,0.14,0,0,2,7,4,0,0,46,1,2,7,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.25,0.0,10
1,3,2,2,3,3,3,0,0.18,1,0,5,4,3,7,7,41,0,1,8,8,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.25,0.7777777777777778,7
4,2,3,4,4,3,3,0,0.15,0,0,2,10,3,1,3,50,0,6,20,4,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.75,0.6,13
3,2,2,3,1,3,3,1,0.12,1,2,6,22,2,1,0,40,0,2,8,6,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,0.5714285714285714,26
3,2,1,2,4,3,3,1,0.16,0,0,5,9,4,2,2,31,0,0,3,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.6666666666666666,13
3,4,1,2,4,3,3,0,0.15,1,0,0,12,3,0,0,21,1,1,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,15
4,3,1,4,4,3,3,0,0.16,0,0,4,23,3,1,2,29,0,9,6,3,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.75,0.5,26
3,2,2,2,3,3,3,0,0.19,0,0,5,9,4,0,0,35,0,9,10,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.75,0.5,12
4,3,1,2,2,3,3,0,0.11,0,1,2,1,2,0,4,27,0,1,5,5,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.75,0.3333333333333333,4
2,3,2,4,4,3,3,0,0.16,0,0,1,9,4,0,7,28,0,1,7,7,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.25,0.625,12
2,2,3,3,3,3,4,0,0.24,0,0,2,7,3,0,0,49,0,8,26,5,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.75,0.3333333333333333,11
3,3,2,4,3,2,3,0,0.11,0,1,2,14,2,0,7,51,1,4,18,7,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.875,17
4,3,1,3,2,3,3,0,0.13,0,1,3,2,3,2,2,36,1,4,6,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.6666666666666666,5
1,4,2,4,2,2,3,1,0.13,1,0,3,19,3,0,4,34,0,8,9,5,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.25,0.3333333333333333,23
3,3,4,4,3,3,3,1,0.13,0,0,2,2,3,1,2,55,1,2,30,5,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.25,0.6666666666666666,6
4,3,2,3,4,4,3,1,0.12,0,1,2,10,4,0,3,24,1,1,5,5,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.75,0.3333333333333333,14
3,3,1,2,1,3,3,0,0.18,0,1,3,2,1,0,0,30,0,1,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.25,0.0,5
3,3,1,1,3,3,4,0,0.22,1,0,2,3,1,0,4,26,0,0,7,6,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,0.5714285714285714,7
1,3,1,2,4,3,3,0,0.13,0,1,1,11,3,1,2,22,1,1,2,2,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,0.3333333333333333,14
2,2,3,3,2,3,3,0,0.13,0,2,2,2,2,9,0,36,0,1,10,10,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,0.8181818181818182,5
3,3,1,4,3,3,4,1,0.23,1,0,4,4,3,0,0,30,0,9,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.25,0.0,9
4,3,1,1,3,2,3,0,0.12,0,1,2,14,3,12,17,37,1,1,18,18,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,0.3684210526315789,17
4,3,2,2,3,3,3,0,0.12,0,2,5,2,2,1,3,40,1,7,8,5,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.6666666666666666,5
2,3,1,1,2,3,3,0,0.16,0,1,5,1,4,1,2,42,1,3,8,5,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.3333333333333333,4
3,3,2,2,4,2,3,1,0.12,0,0,2,10,4,0,1,37,0,2,18,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.75,0.0,14
1,2,4,2,3,3,3,0,0.11,0,1,3,12,3,3,9,43,0,1,25,25,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.25,0.38461538461538464,15
2,2,2,3,2,3,4,0,0.22,0,1,3,2,3,0,0,40,1,6,20,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,0.0,6
1,3,5,1,3,2,3,0,0.11,0,1,4,5,2,1,2,54,0,4,24,4,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.75,0.4,8
3,3,2,3,1,3,3,0,0.15,0,1,3,4,4,1,2,34,1,9,6,3,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,0.5,7
2,3,2,1,2,1,3,0,0.12,0,1,5,7,2,3,12,31,1,1,13,13,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.5,0.7142857142857143,10
4,3,1,4,1,3,4,0,0.2,0,1,1,21,3,1,2,43,0,7,8,3,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.5,25
3,3,2,3,4,3,3,1,0.14,0,0,3,8,4,0,2,43,1,4,8,5,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.25,0.3333333333333333,12
2,2,2,4,2,3,3,1,0.11,0,0,3,4,2,1,3,25,1,1,5,5,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.75,0.6666666666666666,8
